Latitude,Longitude,PartID,CountryName
48.1234970159763,16.9796667823040,1,AUSTRIA
47.7148656276283,16.9037541032673,1,AUSTRIA
47.7129019232012,16.3405843441504,1,AUSTRIA
47.4961709661691,16.5342676123804,1,AUSTRIA
46.8523859726770,16.2022982113374,1,AUSTRIA
46.6836107448117,16.0116638526127,1,AUSTRIA
46.6587027044470,15.1370919125050,1,AUSTRIA
46.4318173284695,14.6324715511748,1,AUSTRIA
46.5093061386912,13.8064754574215,1,AUSTRIA
46.7675591090699,12.3764852230408,1,AUSTRIA
47.1153931748265,12.1530880062431,1,AUSTRIA
46.9415794948127,11.1648279150933,1,AUSTRIA
46.7513585475463,11.0485559424365,1,AUSTRIA
46.8935462509974,10.4427014502466,1,AUSTRIA
46.9207280543830,9.9324483577967,1,AUSTRIA
47.1028099635634,9.4799695166490,1,AUSTRIA
47.3476012233300,9.6329317562330,1,AUSTRIA
47.5250580918203,9.5942261084464,1,AUSTRIA
47.5801968450757,9.8960681494632,1,AUSTRIA
47.3024876979392,10.4020837744652,1,AUSTRIA
47.5663992376538,10.5445040218616,1,AUSTRIA
47.5237661810130,11.4264140153547,1,AUSTRIA
47.7030834010658,12.1413574561128,1,AUSTRIA
47.6723876002844,12.6207597184845,1,AUSTRIA
47.4676455755440,12.9326269873659,1,AUSTRIA
47.6375835231358,13.0258512712205,1,AUSTRIA
48.2891458196879,12.8841028174439,1,AUSTRIA
48.4161148138291,13.2433573747370,1,AUSTRIA
48.8771719427371,13.5959456722644,1,AUSTRIA
48.5553052842072,14.3388977393247,1,AUSTRIA
48.9644017604458,14.9014473812541,1,AUSTRIA
49.0390742051076,15.2534155615940,1,AUSTRIA
48.7338990342079,16.0296472510502,1,AUSTRIA
48.7858080104451,16.4992826677188,1,AUSTRIA
48.5969823268506,16.9602881201946,1,AUSTRIA
48.4700133327095,16.8799829444130,1,AUSTRIA
48.1234970159763,16.9796667823040,1,AUSTRIA
54.9831041530480,9.9219063656091,1,DENMARK
54.8308653835162,9.2820487809711,1,DENMARK
54.9627436387252,8.5262292822702,1,DENMARK
55.5177226833236,8.1203109066175,1,DENMARK
56.5400117051376,8.0899768408622,1,DENMARK
56.8099693874303,8.2565816585712,1,DENMARK
57.1100027533169,8.5434375342234,1,DENMARK
57.1720661484995,9.4244690283676,1,DENMARK
57.4479407822897,9.7755587093585,1,DENMARK
57.7300165879549,10.5800057308461,1,DENMARK
57.2157327337861,10.5461059912627,1,DENMARK
56.8900161810504,10.2500000342302,1,DENMARK
56.6099815944608,10.3699927100120,1,DENMARK
56.4586213242779,10.9121818376183,1,DENMARK
56.0813833685472,10.6678039893100,1,DENMARK
56.1900072292247,10.3699927100120,1,DENMARK
55.4699994981021,9.6499849788893,1,DENMARK
54.9831041530480,9.9219063656091,1,DENMARK
56.1114073757088,12.3709041683533,2,DENMARK
55.6099909531807,12.6900061377556,2,DENMARK
54.8000145534379,12.0899910824147,2,DENMARK
55.3648637966042,11.0435433285042,2,DENMARK
55.7799547389887,10.9039136084516,2,DENMARK
56.1114073757088,12.3709041683533,2,DENMARK
49.4638028021145,6.1863204280942,2,FRANCE
49.2019583196916,6.6582296077836,2,FRANCE
49.0177835150033,8.0992785986747,2,FRANCE
48.3330191107037,7.5936763851311,2,FRANCE
47.6205819769118,7.4667590674222,2,FRANCE
47.4497655299710,7.1922021826555,2,FRANCE
47.5418012558828,6.7365710791381,2,FRANCE
47.2877082383037,6.7687138200236,2,FRANCE
46.7257787135619,6.0373889502290,2,FRANCE
46.2729898138205,6.0226094905935,2,FRANCE
46.4296727565294,6.5000997249704,2,FRANCE
45.9911465521006,6.8435929704145,2,FRANCE
45.7085798203286,6.8023551774456,2,FRANCE
45.3330988632959,7.0966524593478,2,FRANCE
45.0285179713676,6.7499552751017,2,FRANCE
44.2547667506614,7.0075622900766,2,FRANCE
44.1279011093848,7.5495963883861,2,FRANCE
43.6938449163492,7.4351847672919,2,FRANCE
43.1288923203183,6.5292452327830,2,FRANCE
43.3996509873116,4.5569625179314,2,FRANCE
43.0752005071671,3.1004105973527,2,FRANCE
42.4730150416699,2.9859989762585,2,FRANCE
42.3433847112657,1.8267932470872,2,FRANCE
42.7957343613326,0.7015906103639,2,FRANCE
42.5795460068396,0.3380469091906,2,FRANCE
43.0340143906304,-1.5027709619105,2,FRANCE
43.4228020289783,-1.9013512841778,2,FRANCE
44.0226103785901,-1.3842252262330,2,FRANCE
46.0149177109549,-1.1937975732374,2,FRANCE
47.0643626979382,-2.2257242496739,2,FRANCE
47.5703266465080,-2.9632761295596,2,FRANCE
47.9549543320564,-4.4915549381595,2,FRANCE
48.6841604681270,-4.5923498193448,2,FRANCE
48.9016924098596,-3.2958139713578,2,FRANCE
48.6444212916945,-1.6165107893850,2,FRANCE
49.7763418646157,-1.9334940250633,2,FRANCE
49.3473758001609,-0.9894689599554,2,FRANCE
50.1271731634453,1.3387610205227,2,FRANCE
50.9466063502975,1.6390010921385,2,FRANCE
51.1485061712618,2.5135730322461,2,FRANCE
50.7968480495157,2.6584220719603,2,FRANCE
50.7803632676145,3.1232515804257,2,FRANCE
50.3789924180036,3.5881844417557,2,FRANCE
49.9074966497726,4.2860229834251,2,FRANCE
49.9853730332364,4.7992216325157,2,FRANCE
49.5294835475575,5.6740519547848,2,FRANCE
49.4426671413071,5.8977592301764,2,FRANCE
49.4638028021145,6.1863204280942,2,FRANCE
53.7570291204910,14.1196863135426,1,GERMANY
53.2481712917130,14.3533154639341,1,GERMANY
52.9812625189253,14.0745211117194,1,GERMANY
